Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Area,population,Area/population,UnenploymentRate
Switzerland,Western Europe,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,41284,8282396,0.004984548,4.5
Iceland,Western Europe,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,103000,330815,0.311352266,4
Denmark,Western Europe,3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,43094,5683483,0.007582322,6.199999809
Norway,Western Europe,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,323802,5188607,0.062406345,4.300000191
Canada,North America,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,9984670,35702908,0.279659853,6.900000095
Finland,Western Europe,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,338424,5479531,0.06176149,9.399999619
Netherlands,Western Europe,7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,41850,16939923,0.002470495,6.900000095
Sweden,Western Europe,8,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,450295,9799186,0.045952286,7.400000095
New Zealand,Australia and New Zealand,9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,270467,4595700,0.058852188,5.400000095
Australia,Australia and New Zealand,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,7692024,23815995,0.322977226,6.099999905
Israel,Middle East and Northern Africa,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,20770,8380100,0.002478491,5.300000191
Costa Rica,Latin America and Caribbean,12,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,51100,4847804,0.010540855,9.600000381
Austria,Western Europe,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,83871,8642699,0.00970426,5.699999809
Mexico,Latin America and Caribbean,14,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,1964375,121858258,0.016120163,4.300000191
United States,North America,15,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,9372610,320742673,0.029221587,5.300000191
Brazil,Latin America and Caribbean,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,8515767,204471769,0.041647642,8.5
Luxembourg,Western Europe,17,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,2586,569604,0.004539996,6.699999809
Ireland,Western Europe,18,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,70273,4701957,0.014945479,9.399999619
Belgium,Western Europe,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,30528,11274196,0.002707776,8.5
United Arab Emirates,Middle East and Northern Africa,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,83600,9262900,0.009025251,4
United Kingdom,Western Europe,21,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,242900,65128861,0.003729529,5.300000191
Oman,Middle East and Northern Africa,22,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,309500,4267348,0.072527481,16.10000038
Venezuela,Latin America and Caribbean,23,6.81,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,916445,31980000,0.028656817,7
Singapore,Southeastern Asia,24,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,710,5535002,0.000128275,1.700000048
Panama,Latin America and Caribbean,25,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,75417,3968487,0.019003968,4.5
Germany,Western Europe,26,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,357114,81686611,0.004371757,4.599999905
Chile,Latin America and Caribbean,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,756102,17969353,0.042077308,6.199999809
Qatar,Middle East and Northern Africa,28,6.611,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,11586,2565710,0.004515709,0.200000003
France,Western Europe,29,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,551695,66593366,0.008284534,10.39999962
Argentina,Latin America and Caribbean,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2780400,43131966,0.064462631,7.199999809
Czech Republic,Central and Eastern Europe,31,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,78865,10546059,0.007478149,5
Uruguay,Latin America and Caribbean,32,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,181034,3412009,0.053057891,7.5
Colombia,Latin America and Caribbean,33,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,1141748,47520667,0.024026346,9
Thailand,Southeastern Asia,34,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,513120,68714511,0.007467418,1
Saudi Arabia,Middle East and Northern Africa,35,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,2149690,31717667,0.067775792,5.599999905
Spain,Western Europe,36,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,505992,46444832,0.010894474,22.10000038
Malta,Western Europe,37,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,316,445053,0.000710028,5.400000095
Taiwan,Eastern Asia,38,6.298,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,36193,23577477,0.001535067,3.85
Kuwait,Middle East and Northern Africa,39,6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,17818,3835591,0.004645438,3.299999952
Suriname,Latin America and Caribbean,40,6.269,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,163820,559143,0.292984085,7.300000191
Trinidad and Tobago,Latin America and Caribbean,41,6.168,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,5130,1370328,0.003743629,3.400000095
El Salvador,Latin America and Caribbean,42,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,21041,6325124,0.003326575,7
Guatemala,Latin America and Caribbean,43,6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,108889,16252429,0.00669986,2.400000095
Uzbekistan,Central and Eastern Europe,44,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,447400,31298900,0.014294432,8.800000191
Slovakia,Central and Eastern Europe,45,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,49037,5426257,0.009036984,5.6
Japan,Eastern Asia,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,377930,127141000,0.002972527,3.400000095
South Korea,Eastern Asia,47,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,100210,51010000,0.001964517,3.6
Ecuador,Latin America and Caribbean,48,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,276841,16212020,0.01707628,4.800000191
Bahrain,Middle East and Northern Africa,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,765,1371851,0.000557641,1.100000024
Italy,Western Europe,50,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,301336,60730582,0.004961849,11.89999962
Bolivia,Latin America and Caribbean,51,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,1098581,10869730,0.10106792,3.099999905
Moldova,Central and Eastern Europe,52,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,33846,3554108,0.009523065,4.900000095
Paraguay,Latin America and Caribbean,53,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,406752,6688746,0.060811399,5.300000191
Kazakhstan,Central and Eastern Europe,54,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2724900,17542806,0.155328629,5
Slovenia,Central and Eastern Europe,55,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,20273,2063531,0.009824422,9
Lithuania,Central and Eastern Europe,56,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,65300,2904910,0.022479182,9.100000381
Nicaragua,Latin America and Caribbean,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,130373,6223240,0.020949377,5.800000191
Peru,Latin America and Caribbean,58,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,1285216,30470734,0.042178702,6.400000095
Belarus,Central and Eastern Europe,59,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,207600,9489616,0.021876544,0.5
Poland,Central and Eastern Europe,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,312679,37986412,0.008231338,7.5
Malaysia,Southeastern Asia,61,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,330803,30270962,0.010928064,3.099999905
Croatia,Central and Eastern Europe,62,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,56594,4203604,0.013463209,16.29999924
Libya,Middle East and Northern Africa,63,5.754,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,1759540,6418315,0.274143603,18.5
Russia,Central and Eastern Europe,64,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,17098242,144100000,0.118655392,5.57
Jamaica,Latin America and Caribbean,65,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,10991,2891021,0.003801771,13.5
North Cyprus,Western Europe,66,5.695,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,3355,848000,0.003956368,16
Cyprus,Western Europe,67,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,9251,1160985,0.007968234,14.89999962
Algeria,Middle East and Northern Africa,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2381741,39728025,0.059951155,11.19999981
Kosovo,Central and Eastern Europe,69,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,10890,1801800,0.006043956,35
Turkmenistan,Central and Eastern Europe,70,5.548,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,488100,5565287,0.087704372,8.800000191
Mauritius,Sub-Saharan Africa,71,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,2040,1262605,0.001615707,7.900000095
Hong Kong,Eastern Asia,72,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,1104,7291000,0.00015142,3.3
Estonia,Central and Eastern Europe,73,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,45227,1315407,0.034382514,6.199999809
Indonesia,Southeastern Asia,74,5.399,0.82827,1.08708,0.63793,0.46611,0,0.51535,1904569,258383256,0.007371101,6
Vietnam,Southeastern Asia,75,5.36,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,331212,92677076,0.003573829,2.099999905
Turkey,Middle East and Northern Africa,76,5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,783562,78529409,0.009977943,10.19999981
Kyrgyzstan,Central and Eastern Europe,77,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,199951,5957000,0.033565721,2.4
Nigeria,Sub-Saharan Africa,78,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,923768,181137448,0.005099818,4.300000191
Bhutan,Southern Asia,79,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,38394,727876,0.052747996,2.400000095
Azerbaijan,Central and Eastern Europe,80,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,86600,9649341,0.008974706,5
Pakistan,Southern Asia,81,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,881912,199426964,0.00442223,5.900000095
Jordan,Middle East and Northern Africa,82,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,89342,9266575,0.009641318,13.10000038
Montenegro,Central and Eastern Europe,82,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,13812,622159,0.022200113,17.5
China,Eastern Asia,84,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,9706961,1371220000,0.007079069,4.5
Zambia,Sub-Saharan Africa,85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,752612,15879361,0.04739561,7.699999809
Romania,Central and Eastern Europe,86,5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,238391,19815481,0.012030543,6.800000191
Serbia,Central and Eastern Europe,87,5.123,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,88361,7095383,0.012453309,17.70000076
Portugal,Western Europe,88,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,92090,10358076,0.008890647,12.39999962
Latvia,Central and Eastern Europe,89,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,64559,1977527,0.03264633,9.899999619
Philippines,Southeastern Asia,90,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,342353,102113212,0.003352681,6.300000191
Somaliland region,Sub-Saharan Africa,91,5.057,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,176120,3508000,0.050205245,80
Morocco,Middle East and Northern Africa,92,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,446550,34663603,0.012882388,9.699999809
Macedonia,Central and Eastern Europe,93,5.007,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,25713,20179328,0.001274225,21.55
Mozambique,Sub-Saharan Africa,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,801590,27042002,0.029642406,25.29999924
Albania,Central and Eastern Europe,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,28748,2880703,0.009979508,17.10000038
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,51209,3429361,0.014932519,26.29999924
Lesotho,Sub-Saharan Africa,97,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,30355,2059021,0.014742443,26.79999924
Dominican Republic,Latin America and Caribbean,98,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,48671,10281680,0.004733759,14.5
Laos,Southeastern Asia,99,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,236800,6664000,0.035534214,0.6
Mongolia,Eastern Asia,100,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,1564110,2998439,0.521641427,7.400000095
Swaziland,Sub-Saharan Africa,101,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,17364,281055,0.061781502,26.20000076
Greece,Western Europe,102,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0,131990,10820883,0.012197711,24.89999962
Lebanon,Middle East and Northern Africa,103,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,10452,6532678,0.001599956,6.199999809
Hungary,Central and Eastern Europe,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,93028,9843028,0.009451157,6.800000191
Honduras,Latin America and Caribbean,105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,112492,9112916,0.012344238,7.400000095
Tajikistan,Central and Eastern Europe,106,4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,143100,8454028,0.016926842,10.80000019
Tunisia,Middle East and Northern Africa,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,163610,11179949,0.014634235,15.19999981
Palestinian Territories,Middle East and Northern Africa,108,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,6220,4529166,0.001373321,27
Bangladesh,Southern Asia,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,147570,156256276,0.00094441,4.199999809
Iran,Middle East and Northern Africa,110,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,1648195,79360000,0.020768586,12
Ukraine,Central and Eastern Europe,111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,603500,45154029,0.013365363,9.100000381
Iraq,Middle East and Northern Africa,112,4.677,0.98549,0.81889,0.60237,0,0.13788,0.17922,438317,35572261,0.012321876,15
South Africa,Sub-Saharan Africa,113,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,1221037,55386367,0.022045804,25.20000076
Ghana,Sub-Saharan Africa,114,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,238533,27849205,0.008565164,5.099999905
Zimbabwe,Sub-Saharan Africa,115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,390757,13814629,0.02828574,5.099999905
Liberia,Sub-Saharan Africa,116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,111369,4472230,0.024902342,3.599999905
India,Southern Asia,117,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,3287590,1310152403,0.002509319,3.5
Sudan,Sub-Saharan Africa,118,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,1886068,38902950,0.048481362,13
Haiti,Latin America and Caribbean,119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,27750,10695542,0.002594539,14.10000038
Congo (Kinshasa),Sub-Saharan Africa,120,4.517,0,1.0012,0.09806,0.22605,0.07625,0.24834,2345000,76200000,0.030774278,9.8
Nepal,Southern Asia,121,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,147181,27015031,0.005448115,3.200000048
Ethiopia,Sub-Saharan Africa,122,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,1104300,100835458,0.010951505,5
Sierra Leone,Sub-Saharan Africa,123,4.507,0.33024,0.95571,0,0.4084,0.08786,0.21488,71740,7171914,0.010002909,2.5
Mauritania,Sub-Saharan Africa,124,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,1030700,4046301,0.254726477,9.899999619
Kenya,Sub-Saharan Africa,125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,580367,47878336,0.012121704,11.89999962
Djibouti,Sub-Saharan Africa,126,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,23200,913993,0.025383127,6
Armenia,Central and Eastern Europe,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,29743,2925553,0.010166625,18.29999924
Botswana,Sub-Saharan Africa,128,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,582000,2120716,0.274435615,16.79999924
Myanmar,Southeastern Asia,129,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,676578,52680726,0.012842989,0.800000012
Georgia,Central and Eastern Europe,130,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,69700,3725276,0.018710023,12
Malawi,Sub-Saharan Africa,131,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,118484,16745303,0.007075656,6.400000095
Sri Lanka,Southern Asia,132,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,65610,20970000,0.003128755,4.699999809
Cameroon,Sub-Saharan Africa,133,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,475442,23298368,0.020406665,4.099999905
Bulgaria,Central and Eastern Europe,134,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,110879,7177991,0.01544708,9.100000381
Egypt,Middle East and Northern Africa,135,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1002450,93780000,0.010689379,11.44
Yemen,Middle East and Northern Africa,136,4.077,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,527968,26920000,0.019612481,13.8
Angola,Sub-Saharan Africa,137,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1246700,27884381,0.044709617,6.199999809
Mali,Sub-Saharan Africa,138,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,1240192,17438778,0.07111691,10.60000038
Congo (Brazzaville),Sub-Saharan Africa,139,3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,342000,4996000,0.068454764,9.8
Comoros,Sub-Saharan Africa,140,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,1862,777424,0.002395089,19.70000076
Uganda,Sub-Saharan Africa,141,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,241550,38225453,0.006319088,1.899999976
Senegal,Sub-Saharan Africa,142,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,196722,14578459,0.013494019,10.39999962
Gabon,Sub-Saharan Africa,143,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,267668,1947686,0.137428723,20
Niger,Sub-Saharan Africa,144,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,1267000,20001663,0.063344733,2.400000095
Cambodia,Southeastern Asia,145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,181035,15521436,0.011663547,0.100000001
Tanzania,Sub-Saharan Africa,146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,945087,51482633,0.018357394,2.099999905
Madagascar,Sub-Saharan Africa,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,587041,24234088,0.024223771,1.799999952
Central African Republic,Sub-Saharan Africa,148,3.678,0.0785,0,0.06699,0.48879,0.08289,0.23835,622984,4493170,0.138651331,6.199999809
Chad,Sub-Saharan Africa,149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1284000,14110975,0.090993004,5.699999809
Guinea,Sub-Saharan Africa,150,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,245857,11432088,0.02150587,6.300000191
Ivory Coast,Sub-Saharan Africa,151,3.655,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,322463,23110000,0.013953397,2.5
Burkina Faso,Sub-Saharan Africa,152,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,272967,18110624,0.015072203,3.299999952
Afghanistan,Southern Asia,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,652230,34413603,0.01895268,8.600000381
Rwanda,Sub-Saharan Africa,154,3.465,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,26338,11369071,0.002316636,3.400000095
Benin,Sub-Saharan Africa,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,112622,10575952,0.010648876,1
Syria,Middle East and Northern Africa,156,3.006,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,185180,18730000,0.009886813,23
